id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
700,2026-01-30,167,5,5,6,0.0,107.12,
706,2025-05-26,1414,65,12,11,329.7,76.02,31168.43
720,2025-08-07,2627,13,13,4,707.83,170.65,30130.25
726,2026-01-30,1507,38,4,11,216.37,,34994.41
733,2025-04-26,1495,77,6,2,970.09,132.36,82527.5
740,2025-12-07,2140,12,8,3,107.75,,
775,2025-06-08,2127,33,1,1,76.43,,
781,2025-11-20,521,35,12,11,1377.36,,
783,2026-02-14,2061,64,9,1,1305.84,189.76,83446.95
801,2025-07-25,649,46,1,6,737.38,60.16,
803,2025-09-17,1998,62,5,8,1587.48,,
819,2025-03-04,1881,11,6,1,107.13,15.95,2410.69
836,2025-10-25,2473,28,4,3,972.0,,44879.05
843,2026-01-13,657,60,6,8,1480.7,,
845,2025-02-23,14,73,9,11,1269.39,265.58,
879,2025-02-25,2781,76,9,11,487.84,73.85,41572.74
882,2025-07-14,1478,7,3,2,1615.12,339.75,260779.28
893,2025-06-14,835,38,3,9,1213.0,291.35,
895,2025-12-15,1923,57,10,7,1365.73,,
896,2025-02-05,610,20,10,9,477.03,,
900,2025-08-04,1336,8,10,5,1356.71,113.33,225001.5
912,2025-06-16,1791,22,9,1,0.0,,
955,2025-04-03,1676,30,3,12,977.94,,66113.44
979,2025-07-12,1306,105,14,2,79.6,,13816.88
997,2025-12-21,1248,51,14,4,229.38,56.54,36697.87
998,2025-04-30,928,72,7,4,1592.68,,34820.96
1017,2025-08-19,1198,44,14,7,356.86,,
1028,2026-01-29,2004,78,2,1,1645.76,,
1030,2025-07-21,1920,45,6,5,921.01,,135943.27
1032,2026-02-05,1058,71,15,11,1978.63,,
1038,2025-11-26,400,80,10,7,1470.37,259.13,88295.75
1044,2025-05-16,2156,20,7,3,904.25,209.02,54421.46
1065,2025-12-03,2527,17,6,6,1989.19,459.36,311684.97
1068,2025-09-06,1184,59,7,4,1907.66,460.53,362277.16
1091,2025-06-05,1032,59,15,6,101.14,14.26,
1099,2025-08-29,2966,21,7,2,1005.27,237.75,161375.41
1106,2025-10-14,1726,9,9,7,1225.86,,
1123,2025-10-30,403,35,13,1,100.19,16.93,
1156,2025-01-31,1585,9,5,7,107.49,,7081.97
1161,2025-06-19,1053,34,8,7,748.2,168.54,
1171,2025-04-03,272,72,2,10,699.83,97.22,
1181,2025-01-01,1466,64,5,4,412.24,,16238.21
1184,2025-01-10,2557,50,5,4,1236.51,151.82,212721.14
1197,2025-04-24,2247,25,7,9,649.49,,
1205,2025-08-07,218,40,10,8,829.03,,87169.07
1234,2025-09-06,2479,10,13,2,200.03,29.66,
1255,2026-02-15,1681,70,10,3,1394.21,110.73,
1264,2025-04-18,609,80,10,7,998.07,,167810.75
1276,2026-02-10,218,72,3,5,223.93,13.04,
1278,2025-10-08,2948,20,14,2,1269.83,1782.44,
1282,2025-11-07,182,77,11,1,1327.05,231.46,113779.99
1340,2026-01-20,1374,22,13,3,623.78,,90183.07
1351,2025-02-16,1869,10,14,4,1775.07,,338913.02
1369,2025-11-06,2599,20,11,1,1947.73,,333898.58
1383,2025-10-11,2030,71,8,2,942.34,60.02,
1410,2025-09-13,2934,80,8,9,1120.76,277.51,92953.74
1442,2026-01-23,1327,31,4,1,70.43,10.52,
1448,2025-10-23,2463,30,14,9,333.27,35.02,
1449,2025-05-01,31,24,9,5,160.0,12.62,17670.8
1454,2025-09-06,2203,74,4,8,1167.22,284.19,
1463,2025-08-06,1776,47,10,10,1784.43,309.88,
1480,2025-03-22,1914,33,15,1,1416.28,96.23,195234.95
1537,2025-12-09,3821,6,6,2,74.62,15.94,
1569,2025-08-18,2326,31,5,7,1099.41,82.99,
1587,2026-01-02,1781,62,4,1,1506.63,,
1604,2025-11-03,354,16,9,7,367.22,,40366.29
1624,2025-10-03,1738,48,14,10,927.34,169.45,71920.47
1628,2025-06-20,2048,51,10,4,157.56,24.35,
1654,2026-01-28,591,26,11,6,1373.54,203.59,
1670,2025-10-29,690,50,13,7,611.72,123.84,
1680,2025-07-27,1422,72,2,2,1996.04,,311938.91
1684,2025-02-18,2231,48,4,4,270.73,,
1685,2025-12-18,437,66,5,9,1870.58,,
1686,2025-09-24,1913,9,7,7,428.51,73.83,64001.48
1691,2025-02-16,1649,50,5,4,1976.69,360.58,108066.89
1729,2025-11-07,2564,17,15,1,993.39,188.55,
1749,2025-12-26,1495,73,14,10,951.81,,49431.88
1750,2025-04-18,2368,13,11,1,868.12,48.83,
1762,2025-07-12,350,72,3,6,1954.59,,
1764,2025-12-30,1330,14,10,4,424.39,,69369.92
1775,2025-06-17,2921,52,1,12,310.84,67.6,19315.0
1782,2025-03-18,1937,59,1,2,1864.27,,
1788,2026-02-03,1696,45,1,3,1734.03,,
1792,2025-07-13,709,14,14,8,609.1,108.23,
1803,2025-05-01,2786,18,15,4,1720.84,,
1805,2026-01-26,178,75,9,1,1644.36,275.42,
1815,2025-09-17,876,15,6,7,378.93,85.12,
1832,2025-12-23,662,77,7,8,1019.78,151.25,78262.43
1833,2025-08-03,1639,30,4,5,410.3,62.54,10767.82
1840,2025-04-13,538,1,8,2,1087.2,266.51,
1843,2026-02-15,2054,73,11,4,1317.01,73.74,53666.7
1848,2025-03-16,1900,19,4,6,321.51,33.46,
1868,2026-02-11,2906,70,11,2,163.19,11.21,31636.45
1873,2025-06-19,97,56,3,8,654.91,43.58,
1888,2025-04-27,83,7,9,2,1592.37,,
1891,2025-04-26,588,63,2,5,792.65,94.91,57831.15
1900,2025-02-27,741,13,5,7,525.73,78.76,
1915,2025-08-31,2863,47,9,7,826.09,205.34,
1925,2025-10-10,2319,17,4,8,189.35,19.23,
1926,2025-08-28,2109,41,9,1,419.3,,57025.51
1929,2026-02-06,33,34,13,3,1889.05,402.01,
1931,2025-12-26,1298,11,12,11,538.11,,
1935,2025-01-09,2033,22,10,5,428.02,56.51,
1942,2025-01-25,1415,17,2,10,-1076.43,,
1946,2025-12-13,1224,53,12,2,85.68,16.13,7710.95
1959,2025-03-28,1978,66,5,12,190.64,41.81,26704.85
1974,2025-06-06,1620,48,13,3,256.11,,
1977,2025-07-26,884,77,15,2,818.87,144.4,
1985,2025-06-06,2629,15,5,5,314.28,19.25,35000.73
1991,2025-07-17,366,77,7,3,220.74,18.55,43252.05
2000,2025-08-09,1491,73,13,6,1181.87,,29112.33
2002,2025-02-17,1583,61,3,8,154.29,12.19,11208.34
2022,2025-10-25,443,32,14,12,1857.25,,368693.78
2047,2025-10-05,2004,61,4,12,1935.32,,47796.85
2058,2026-01-12,719,63,5,11,339.69,83.67,44824.5
2062,2025-07-16,1069,62,5,10,895.39,,
2064,2025-05-07,2690,75,6,12,371.84,42.59,25141.34
2071,2026-02-11,2424,55,6,12,1173.5,,44741.52
2084,2025-09-01,160,9,6,11,377.98,75.16,54240.77
2108,2025-02-06,1176,35,14,12,1432.05,106.29,178029.64
2136,2025-03-22,1893,35,15,7,-163.0,16.17,
2153,2025-07-01,1177,69,9,2,1458.35,283.24,158384.3
2154,2025-08-30,1849,32,2,2,68.24,5.73,
2165,2025-08-13,577,36,3,1,980.87,95.14,189390.39
2171,2025-05-25,14,36,15,7,787.02,43.71,24744.99
2199,2025-09-27,695,69,9,3,960.43,,
2215,2025-01-29,1145,16,10,4,844.72,42.54,
2217,2026-01-02,2213,41,15,9,1793.35,191.21,96108.85
2252,2026-02-14,15,51,4,6,603.99,,74420.02
2259,2025-06-15,1997,40,10,3,-1649.25,154.77,
2273,2025-10-13,1836,34,6,10,387.16,,
2277,2025-02-12,1467,36,8,10,1177.05,,
2279,2025-01-11,1133,58,12,4,347.06,51.42,66930.23
2294,2025-01-05,201,3,5,8,1428.44,91.41,
2297,2025-11-16,528,52,7,10,366.62,35.48,
2305,2025-03-25,652,49,15,10,663.22,42.86,
2325,2025-08-31,2516,80,12,1,740.23,150.27,
2326,2025-07-02,2995,54,4,11,785.42,171.41,
2337,2025-08-14,939,5,10,1,690.86,,118345.74
2341,2025-12-14,1895,14,12,9,894.88,,
2346,2025-08-20,444,63,6,7,786.92,146.68,60136.83
2350,2025-08-22,479,2,7,9,556.79,74.96,
2368,2025-12-16,1115,10,14,8,476.98,,
2381,2026-01-19,1579,38,14,12,1561.68,,291076.59
2385,2025-02-05,518,13,1,2,1935.37,389.8,
2394,2025-11-12,2198,66,15,10,1772.74,336.14,216414.91
2398,2025-05-31,1853,72,3,1,143.24,12.65,19956.82
2423,2025-06-10,943,75,6,5,526.77,,
2435,2025-08-27,2818,11,1,10,229.86,14.15,
2452,2025-04-06,146,39,1,7,1690.41,,289283.89
2468,2025-07-12,1253,6,12,1,854.6,,33393.55
2478,2025-12-20,1827,12,11,5,176.01,,
2496,2025-09-11,162,61,4,10,1259.17,154.61,
2510,2025-01-01,227,57,5,10,1115.67,1426.98,
2511,2025-07-29,1682,43,9,11,200.67,44.08,
2566,2025-01-05,816,59,7,1,1836.96,309.39,230589.2
2580,2025-10-19,927,21,7,10,630.34,114.89,
2587,2026-01-27,1603,30,13,5,1792.6,,
2605,2025-05-14,1689,38,13,3,139.94,7.35,
2618,2025-10-03,1716,10,1,2,67.34,6.06,
2623,2026-01-14,2819,77,11,7,901.12,,
2635,2025-05-02,429,31,5,7,659.0,153.47,
2641,2025-07-30,1664,65,1,8,487.2,,
2644,2025-05-15,321,48,14,8,1475.75,,
2652,2025-05-31,2524,33,11,12,653.39,115.58,
2658,2026-01-17,1799,45,7,9,1778.86,307.11,
2661,2026-01-31,2046,41,2,2,1267.47,197.35,221361.08
2665,2025-02-17,1647,80,2,8,1963.38,,
2673,2025-10-17,1098,8,4,4,550.88,,
2679,2025-11-24,2683,74,14,5,1638.42,395.88,222861.58
2683,2025-09-17,411,42,5,11,66.25,11.28,
2688,2025-01-31,1174,41,11,9,414.79,,
2690,2025-09-15,1113,17,14,7,1764.72,,329827.71
2692,2025-07-21,2001,8,13,10,614.34,,59376.03
2706,2025-07-02,1735,62,8,11,1604.73,285.5,86340.91
2714,2025-04-16,812,38,11,11,422.81,41.64,
2724,2026-01-27,940,24,6,3,942.91,,
2732,2025-04-25,1292,29,7,1,867.01,130.12,164699.99
2736,2025-08-31,2916,21,12,10,660.08,52.05,
2738,2025-02-11,3721,80,15,8,1405.84,,159373.81
2784,2025-10-23,2284,32,2,12,236.17,46.36,18551.71
2793,2025-02-28,2716,73,12,1,539.22,,66540.17
2797,2026-02-11,1522,80,4,10,1093.93,156.72,
2802,2025-07-03,2179,17,7,4,1896.56,,
2819,2026-02-07,2587,40,5,11,315.54,,
2836,2025-02-02,1064,28,7,5,888.0,145.35,131733.7
2838,2025-01-08,1999,75,8,12,545.79,,
2852,2025-07-22,2159,62,10,3,1908.14,,
2865,2025-02-25,1067,76,4,1,-110.84,21.87,
2881,2025-05-14,1396,78,9,3,217.63,,
2893,2025-07-22,2997,77,2,8,1314.17,113.54,130116.17
2913,2025-08-16,378,12,7,3,1627.08,,
2926,2025-01-05,713,46,2,6,958.81,,
2931,2025-07-13,1005,75,11,1,75.38,,2893.7
2932,2025-04-19,2461,5,7,11,51.68,9.37,
2954,2025-09-21,2667,15,14,1,694.14,158.53,118657.32
2969,2025-11-20,2175,19,6,7,1218.2,99.26,
2997,2025-04-10,2297,76,6,4,638.65,,
3001,2025-07-03,2066,63,3,4,800.01,79.69,
3018,2025-03-19,2053,72,1,11,494.99,,10154.67
3020,2025-04-13,159,21,14,9,1795.67,,
3031,2025-06-26,1272,26,15,6,646.46,,
3038,2025-09-08,309,47,8,8,502.75,37.5,53512.46
3041,2025-12-03,2238,59,6,11,1095.55,100.53,156740.15
3090,2025-10-19,2811,34,7,12,250.51,33.76,
3100,2025-12-17,1070,36,15,3,1420.43,127.12,30257.1
3101,2025-03-26,1023,24,1,10,1986.01,,
3108,2025-08-28,2100,65,9,12,1255.55,309.67,
3131,2025-09-14,233,9,6,6,1223.14,101.75,
3181,2025-06-01,2429,59,6,2,1387.89,301.61,176677.66
3200,2025-11-22,2397,60,3,8,424.75,,
3202,2025-03-04,1300,47,7,11,1710.46,241.31,
3220,2025-11-18,2128,47,9,6,942.0,,
3227,2025-07-22,349,63,3,9,1565.17,120.8,42629.09
3229,2025-05-14,160,2,12,12,461.92,,
3251,2025-10-16,1620,94,4,4,1011.75,164.58,
3252,2025-12-22,1175,38,13,7,1230.91,,
3277,2025-10-16,937,41,5,9,1237.85,,
3303,2025-08-01,2403,72,11,4,396.6,93.07,65779.47
3331,2025-05-03,1047,11,4,6,1249.63,187.38,35164.44
3351,2025-07-03,1384,33,13,9,73.41,8.92,
3353,2026-02-05,200,11,9,7,1439.09,355.08,
3367,2025-09-20,710,51,11,10,0.0,241.98,
3389,2025-01-01,2740,69,2,8,-1626.21,,167731.7
3434,2025-07-01,1807,29,11,11,585.57,660.89,
3443,2026-02-05,1745,20,1,7,1791.71,211.84,193915.09
3467,2025-05-24,2008,16,15,1,1684.45,,
3471,2025-08-01,1629,13,5,10,1061.48,,
3502,2025-08-29,2731,76,13,3,1323.97,109.72,
3511,2025-09-28,1935,36,15,11,349.06,,
3529,2025-06-09,1736,32,15,6,0.0,,
3545,2025-04-03,1067,65,14,5,1712.33,124.64,
3549,2025-11-14,322,18,6,8,494.38,87.53,25003.36
3559,2026-02-06,1268,30,7,3,117.0,,20065.73
3568,2025-05-18,894,42,12,1,1596.39,,284746.75
3580,2026-02-05,2983,16,2,9,624.24,130.01,57020.38
3583,2026-02-18,1230,19,1,10,1092.84,,
3589,2025-06-20,2217,13,2,10,662.84,62.56,
3596,2025-11-01,1848,53,5,5,453.71,30.69,22638.39
3605,2025-08-15,1366,59,12,9,65.35,,7939.97
3609,2025-03-05,2304,43,11,6,201.81,336.02,
3611,2025-08-16,1010,16,5,4,150.61,32.26,
3624,2026-01-01,1722,3,13,7,542.8,130.48,
3641,2025-12-26,2721,22,8,12,943.18,,
3649,2025-10-09,1272,77,14,9,886.86,,
3656,2025-09-23,1520,27,4,3,444.12,,
3658,2025-10-03,628,31,3,11,0.0,126.13,313310.72
3667,2025-09-14,2967,39,12,12,1734.47,,107767.82
3699,2025-02-01,1776,15,15,9,781.2,,
3700,2025-06-01,266,3,9,12,1119.28,268.84,
3702,2025-11-12,2903,68,14,6,937.13,,
3707,2026-01-08,901,68,5,9,-274.24,,
3714,2025-05-02,40,39,15,5,525.81,,
3725,2026-02-14,369,22,5,10,1886.96,,
3726,2025-03-16,1755,79,5,2,1766.4,,63517.15
3743,2025-11-30,475,11,7,11,432.5,,
3752,2025-05-03,294,15,10,8,1583.56,,
3761,2025-12-01,2524,63,2,3,274.53,,22917.36
3790,2025-03-23,673,18,6,5,637.52,146.91,87363.25
3801,2025-05-05,560,23,13,9,974.08,,
3810,2025-08-10,3552,7,12,1,262.93,60.84,
3821,2025-12-18,2217,50,14,12,726.25,38.91,124016.12
3827,2026-01-24,744,19,1,9,1278.57,87.31,182729.7
3838,2026-02-04,453,57,8,6,966.22,213.68,164970.33
3855,2025-05-21,1070,35,11,5,50.86,7.2,2204.66
3867,2026-01-11,2244,34,8,7,1740.63,87.84,
3875,2025-10-03,1343,2,15,5,1969.31,416.27,342612.29
3888,2025-03-20,2206,43,12,7,687.6,,
3898,2025-09-05,987,36,12,8,618.38,53.87,20572.35
3899,2025-02-25,2607,6,3,11,126.99,10.32,
3902,2025-02-19,3689,29,4,12,1906.25,223.48,
3915,2025-10-18,1949,28,1,2,644.27,,23958.86
3935,2025-04-04,126,34,15,4,0.0,,92172.37
3939,2025-12-29,327,42,10,7,675.49,64.54,
3947,2025-03-16,282,41,8,3,1837.03,,122260.44
3962,2025-10-02,202,47,11,1,141.69,,
3968,2025-05-22,2164,37,3,10,1574.39,,189744.83
3993,2025-04-30,969,7,7,7,873.86,50.77,
3994,2026-01-27,674,5,14,6,72.83,8.78,
3995,2025-04-29,1946,69,10,5,1678.73,,286442.34
4009,2025-12-02,582,70,13,4,333.04,,
4030,2025-01-02,1422,67,2,7,-1790.26,,
4035,2025-05-16,504,43,4,6,643.09,98.94,34605.23
4040,2025-08-09,2402,54,7,9,314.14,34.47,
4049,2025-10-01,2775,47,1,2,560.14,86.84,57233.59
4057,2026-01-07,2413,70,6,2,294.61,38.46,43710.54
4059,2025-09-14,1054,68,7,1,0.0,113.91,
4071,2025-09-23,1574,29,2,10,768.15,126.21,
4082,2025-11-21,2139,15,6,10,1358.23,,
4102,2025-03-25,1797,71,1,9,1765.19,91.92,213878.48
4109,2025-06-29,1435,32,3,12,1982.49,171.03,
4115,2025-11-02,1650,43,1,2,954.73,76.47,
4117,2025-07-02,930,61,7,7,263.43,18.89,45751.81
4122,2025-01-07,945,45,8,5,532.8,,77743.62
4123,2025-04-26,9,34,15,1,951.86,67.51,105297.07
4177,2025-09-28,2872,53,11,12,750.97,171.46,28036.76
4178,2025-04-03,1413,39,9,11,1345.16,240.9,
4179,2025-02-17,2159,60,15,12,907.04,200.31,
4185,2025-09-17,2375,52,6,8,175.18,17.99,31775.18
4198,2025-11-24,1450,6,14,9,871.47,,
4225,2025-07-25,1530,65,6,6,1486.25,301.26,266496.34
4232,2025-05-05,306,10,15,6,818.27,193.15,
4233,2025-07-01,2663,50,8,12,598.5,83.96,
4238,2025-09-15,2341,33,1,7,307.86,50.76,
4246,2025-08-28,34,75,5,5,631.92,94.1,
4253,2025-02-06,2143,9,5,10,785.47,,
4270,2025-01-09,619,1,1,6,410.77,48.51,
4292,2025-10-10,9,8,12,6,847.27,,
4293,2025-08-30,2208,47,5,6,1599.11,,
4297,2025-12-18,2620,57,2,5,991.83,,
4330,2025-03-24,1629,74,8,10,718.28,87.39,
4351,2025-07-26,1497,45,7,3,230.68,29.09,
4352,2025-08-25,105,6,13,1,1583.74,,281517.34
4355,2025-09-08,1394,65,11,6,1623.6,112.17,
4364,2025-05-11,65,60,11,2,631.31,,
4381,2025-04-17,1002,15,7,5,72.08,4.35,
4411,2025-08-13,2394,71,15,4,125.71,11.02,
4414,2026-01-30,100,12,8,10,1710.57,168.89,
4420,2025-10-10,668,8,11,2,669.7,80.42,
4435,2025-11-23,227,60,15,6,95.44,17.03,
4442,2025-10-03,571,30,2,7,698.68,,66684.93
4444,2025-05-06,186,41,4,11,1078.97,,114795.75
4450,2025-06-22,2761,56,9,2,1133.42,184.17,
4484,2025-03-20,1203,43,9,6,349.56,52.12,
4489,2026-01-26,1171,43,8,6,825.17,,
4496,2025-03-24,292,30,3,11,838.08,159.87,
4498,2025-12-18,1831,55,15,12,1172.05,,170045.89
4499,2025-11-27,2081,47,14,3,716.41,146.78,
4511,2025-07-05,2634,22,2,6,1987.19,,
4522,2025-02-14,2690,52,5,3,-145.01,7.58,
4525,2025-03-26,2331,16,4,11,1267.15,228.71,
4527,2025-12-01,2524,42,7,4,1167.58,,
4545,2025-10-04,2619,61,1,10,712.8,97.1,
4573,2025-12-19,205,36,8,12,314.51,51.71,
4586,2025-04-19,2272,62,13,10,1961.67,100.91,
4597,2026-01-22,1276,54,3,4,408.26,,
4618,2025-06-20,1047,48,15,9,908.89,,
4639,2026-02-09,491,52,3,9,397.01,22.18,
4653,2025-08-25,1943,46,11,8,1468.89,84.49,
4655,2025-08-31,205,32,2,1,134.83,15.62,
4660,2026-02-04,676,73,5,11,272.15,,53236.45
4667,2025-09-12,676,53,1,9,1134.02,69.32,
4672,2026-01-09,166,29,15,2,797.48,183.04,
4675,2025-02-19,1738,51,1,4,479.45,116.45,
4689,2025-03-28,1703,69,5,4,257.49,359.05,
4700,2025-06-13,1393,40,6,10,755.13,82.18,
4703,2025-01-18,89,69,15,10,1653.49,178.22,286372.63
4711,2025-07-11,438,36,6,9,820.74,87.33,141608.12
4731,2026-01-14,2338,80,11,6,828.07,206.4,78217.76
4737,2025-03-21,382,63,12,11,360.74,69.1,9554.15
4745,2025-10-31,17,10,12,10,1962.36,,
4747,2025-08-23,1130,50,6,10,221.56,49.46,
4767,2025-07-26,2511,10,11,9,582.28,,42533.5
4769,2025-09-18,1600,38,15,12,91.84,18.85,
4777,2025-11-23,2701,63,3,6,571.27,95.07,
4783,2026-01-17,1572,74,14,11,1600.0,129.81,
4788,2026-01-10,1980,43,8,6,327.85,65.22,13081.23
4789,2025-04-23,784,55,8,4,1459.64,128.13,49174.92
4795,2025-03-27,2264,1,11,5,434.91,86.97,84670.06
4815,2025-03-07,1892,4,8,10,706.93,168.16,35279.73
4837,2025-01-16,2350,9,2,8,1992.67,421.71,
4841,2025-12-20,432,46,15,8,257.42,54.36,
4843,2025-09-29,1339,15,9,9,733.98,64.24,65329.87
4850,2025-07-17,482,9,1,7,1464.89,173.38,200070.49
4870,2025-07-15,2782,34,11,12,406.03,34.63,
4873,2026-01-12,1987,32,6,10,752.44,38.98,52485.24
4882,2025-02-08,1771,13,7,7,163.9,36.13,21008.78
4889,2025-11-10,2805,80,9,2,1026.52,155.17,66073.89
4894,2025-10-27,1531,52,2,6,205.05,35.24,6577.21
4909,2026-01-08,2747,67,13,9,411.72,67.37,73299.25
4915,2025-05-30,1621,39,1,4,1871.95,,
4917,2025-04-17,1869,40,11,11,698.68,121.99,
4932,2025-08-30,1616,6,7,7,420.95,86.88,
4966,2025-04-19,1114,12,4,1,899.89,83.88,142753.97
4972,2025-07-27,349,44,5,7,302.27,46.33,
4974,2025-09-15,2851,51,5,11,1345.42,273.31,73654.63
4984,2025-02-19,1480,3,5,2,864.44,66.73,
4992,2025-04-27,1444,60,3,3,679.74,,
5002,2025-12-07,1479,77,14,8,1207.28,155.2,
5012,2025-10-23,19,10,1,12,1581.68,263.6,
5025,2026-01-11,2070,28,5,5,165.34,,
5041,2025-03-23,397,66,10,5,1795.95,125.14,219413.86
5043,2025-08-25,952,20,13,6,189.61,21.64,13520.98
5050,2025-08-22,431,66,2,11,79.91,9.97,10916.37
5056,2025-10-04,893,46,7,2,245.49,,
5060,2025-04-22,1041,46,3,5,1680.9,,
5063,2025-06-26,2075,22,8,2,1460.93,,
5086,2026-02-17,1157,43,9,10,390.43,,
5131,2025-12-27,503,57,3,2,1224.42,,
5137,2025-09-03,1651,23,6,7,1436.77,127.3,29498.77
5141,2025-12-10,1294,72,11,10,1569.44,368.37,207627.95
5165,2025-08-19,1500,31,4,5,1599.56,,
5170,2026-02-15,1423,61,6,10,1560.12,259.99,
5190,2025-01-14,1501,36,6,7,1116.22,,
5193,2025-03-29,1152,47,1,12,1381.0,280.18,
5214,2025-04-28,1992,35,1,5,115.13,15.01,15728.26
5242,2025-09-28,290,47,7,5,511.28,86.21,25730.85
5249,2025-08-15,2897,44,14,9,101.87,8.35,
5262,2025-06-16,2732,26,3,12,324.79,41.26,
5265,2026-02-03,2250,37,14,8,1845.28,,139855.03
5285,2025-09-02,945,77,4,2,862.17,122.22,
5314,2025-06-26,2450,49,11,3,706.82,90.61,52421.46
5315,2025-09-05,1530,27,10,4,1166.11,61.67,
5316,2025-03-20,1142,56,5,8,0.0,73.2,188719.2
5320,2026-02-10,2524,34,8,9,682.96,111.73,
5324,2025-09-15,917,6,4,8,708.57,,54270.67
5326,2025-11-27,603,68,14,10,1854.33,,219116.93
5328,2025-10-21,1361,80,7,7,1375.51,284.33,83623.39
5335,2026-01-20,1637,7,13,5,1496.07,267.18,
5336,2025-04-24,2502,39,15,5,709.61,42.05,
5351,2025-04-22,726,24,14,10,1546.93,115.46,269453.1
5367,2025-07-03,965,80,8,12,868.0,94.76,39320.47
5385,2025-11-13,984,4,12,1,770.86,149.97,
5425,2025-07-19,2714,61,3,3,617.85,154.34,108003.39
5427,2025-06-22,2608,64,8,7,1223.23,151.95,233552.98
5428,2025-06-05,217,15,11,3,493.72,62.59,43678.77
5450,2025-10-04,712,37,9,8,925.03,,175356.21
5468,2025-11-04,1554,26,5,2,1447.21,,221805.76
5472,2025-09-20,897,1,3,12,1319.77,67.86,
5475,2025-12-25,2668,58,3,9,712.96,127.9,
5480,2025-07-19,2082,29,13,4,88.29,16.13,
5489,2025-09-20,1979,36,14,8,418.64,,28205.23
5491,2025-09-02,2198,8,1,2,476.67,72.74,40550.98
5499,2026-02-15,255,32,7,7,1103.27,251.32,
5502,2025-04-05,1176,17,7,5,1448.14,,164660.51
5508,2025-08-26,933,33,14,1,140.59,29.22,
5514,2025-01-22,1867,29,14,2,769.79,,
5515,2025-08-21,2022,60,9,11,211.67,,
5525,2026-02-16,2122,44,3,6,-438.87,32.09,
5528,2025-01-20,2908,40,15,7,953.27,170.41,
5541,2025-03-30,2569,76,12,9,94.35,17.65,16552.28
5556,2025-10-07,736,9,8,8,991.03,,128657.95
