id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo_rechazo
41,4657,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
42,3586,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
43,11680,,10535.93,CERRADO,fecha_invalida
44,17906,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
46,2860,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
47,6904,,7795.35,ABIERTO,fecha_invalida
48,503,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
49,12852,,4828.13,NAN,fecha_invalida
50,25778,,11437.5,NAN,fecha_invalida
51,1344,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
52,22187,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
53,11106,,2182.44,CERRADO,fecha_invalida
54,14544,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
55,19232,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
56,14610,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
57,11757,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
58,9803,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
59,4806,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
60,15711,,2916.65,CERRADO,fecha_invalida
61,16070,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
62,14407,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
63,22281,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
64,10093,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
65,19562,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
67,5049,2025-05-26,,RECHAZADO,monto_invalido_o_vacio
68,4916,,5792.24,NAN,fecha_invalida
69,14892,,14508.66,NAN,fecha_invalida
70,18587,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
71,19836,,5377.67,NAN,fecha_invalida
72,23320,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
73,14099,,11459.27,ABIERTO,fecha_invalida
74,3314,,14502.38,CERRADO,fecha_invalida
75,9867,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
76,18282,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
77,8700,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
78,4535,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
79,7460,,11711.43,CERRADO,fecha_invalida
80,23359,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
81,10359,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
83,16988,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
84,2227,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
85,7153,,5079.34,NAN,fecha_invalida
86,25554,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
87,23591,,1777.81,ABIERTO,fecha_invalida
88,14027,,10253.14,ABIERTO,fecha_invalida
89,12761,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
90,21277,,6602.43,RECHAZADO,fecha_invalida
91,80,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
92,13736,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
94,15160,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
96,17713,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
97,13086,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
98,19925,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
99,18399,2025-06-27,,CERRADO,monto_invalido_o_vacio
100,24052,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
102,8858,,5155.2,CERRADO,fecha_invalida
103,19170,,10183.94,NAN,fecha_invalida
104,1153,,2580.4,NAN,fecha_invalida
106,2501,,511.1,ABIERTO,fecha_invalida
107,17613,,11560.34,NAN,fecha_invalida
108,1500,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
109,9413,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
110,16745,,8484.21,ABIERTO,fecha_invalida
111,2641,,11886.43,CERRADO,fecha_invalida
112,6548,,13134.7,CERRADO,fecha_invalida
113,8649,,10126.28,ABIERTO,fecha_invalida
114,5370,2025-03-10,,CERRADO,monto_invalido_o_vacio
115,24834,,12189.58,ABIERTO,fecha_invalida
116,8222,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
117,12941,2025-12-12,,ABIERTO,monto_invalido_o_vacio
118,21719,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
119,1874,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
120,21805,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
121,3645,,13084.42,RECHAZADO,fecha_invalida
122,16832,,7489.48,NAN,fecha_invalida
123,8567,,5749.7,RECHAZADO,fecha_invalida
124,4535,,9389.56,NAN,fecha_invalida
125,17509,,1154.08,CERRADO,fecha_invalida
126,13007,,13629.62,RECHAZADO,fecha_invalida
127,424,,1595.62,CERRADO,fecha_invalida
128,24167,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
129,8836,,1652.79,ABIERTO,fecha_invalida
130,14357,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
131,21837,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
132,1290,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
133,5720,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
134,7223,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
135,24992,,302.32,ABIERTO,fecha_invalida
136,9670,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
137,23959,,13295.74,CERRADO,fecha_invalida
138,22384,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
139,21305,,12134.64,RECHAZADO,fecha_invalida
140,21427,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
141,25512,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
142,14587,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
143,2790,2025-10-13,,RECHAZADO,monto_invalido_o_vacio
144,7956,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
145,5744,,3902.65,ABIERTO,fecha_invalida
147,3192,,9549.21,CERRADO,fecha_invalida
148,9556,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
149,9146,,2981.78,ABIERTO,fecha_invalida
150,14981,2025-01-31,,RECHAZADO,monto_invalido_o_vacio
151,2464,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
152,22723,2025-09-09,,ABIERTO,monto_invalido_o_vacio
153,7402,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
154,11333,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
155,17654,,13419.79,NAN,fecha_invalida
156,16853,2025-03-09,,ABIERTO,monto_invalido_o_vacio
157,22187,,4984.64,CERRADO,fecha_invalida
158,8637,,12772.25,RECHAZADO,fecha_invalida
159,2123,2025-11-12,,CERRADO,monto_invalido_o_vacio
161,12821,,1663.96,NAN,fecha_invalida
162,17558,,2904.94,ABIERTO,fecha_invalida
163,3344,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
164,3953,,14622.5,CERRADO,fecha_invalida
165,3478,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
166,3400,,11123.38,NAN,fecha_invalida
167,19661,,5398.38,CERRADO,fecha_invalida
168,6501,,3552.32,CERRADO,fecha_invalida
169,23178,,4944.75,CERRADO,fecha_invalida
170,14794,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
171,6401,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
172,10449,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
173,11295,2025-04-24,,RECHAZADO,monto_invalido_o_vacio
174,25761,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
176,14992,,7840.46,ABIERTO,fecha_invalida
177,15938,,13797.55,NAN,fecha_invalida
178,22497,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
179,12699,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
180,13273,,14255.51,NAN,fecha_invalida
181,3779,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
182,6051,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
183,15820,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
185,23960,,2485.0,CERRADO,fecha_invalida
186,14257,2026-01-14,,ABIERTO,monto_invalido_o_vacio
187,17116,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
188,9285,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
189,11691,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
190,15565,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
192,24819,2025-12-07,,ABIERTO,monto_invalido_o_vacio
193,19056,2025-12-02,,ABIERTO,monto_invalido_o_vacio
194,13685,,8942.15,ABIERTO,fecha_invalida
195,3021,,1043.99,RECHAZADO,fecha_invalida
196,4434,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
197,5812,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
198,3833,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
199,15158,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
201,10253,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
202,6793,2025-08-30,,CERRADO,monto_invalido_o_vacio
203,21133,,4564.31,RECHAZADO,fecha_invalida
204,11440,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
205,15065,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
207,10666,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
208,5006,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
209,16837,,11810.11,NAN,fecha_invalida
210,14034,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
211,18427,2025-12-18,,CERRADO,monto_invalido_o_vacio
212,14352,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
213,1279,2025-02-07,,RECHAZADO,monto_invalido_o_vacio
214,16890,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
216,8726,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
217,14431,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
219,25727,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
220,2535,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
221,2986,,9139.78,CERRADO,fecha_invalida
222,13632,,14814.18,CERRADO,fecha_invalida
223,2629,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
224,19260,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
225,19366,,851.04,NAN,fecha_invalida
226,12950,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
228,9398,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
229,16087,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
230,19159,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
231,16670,,12582.5,RECHAZADO,fecha_invalida
232,3014,,9726.96,CERRADO,fecha_invalida
233,11033,,9170.56,ABIERTO,fecha_invalida
234,16501,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
235,23798,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
236,22678,2025-11-11,,ABIERTO,monto_invalido_o_vacio
237,24184,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
238,19973,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
239,22979,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
240,15810,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
241,20874,2025-01-29,,CERRADO,monto_invalido_o_vacio
242,10437,,14596.52,RECHAZADO,fecha_invalida
243,9965,,4275.37,NAN,fecha_invalida
244,3256,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
245,5447,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
246,11329,,11681.88,ABIERTO,fecha_invalida
247,23410,,8598.25,NAN,fecha_invalida
248,11871,,804.82,CERRADO,fecha_invalida
249,18003,,14986.14,NAN,fecha_invalida
250,2158,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
251,21022,2025-07-18,,RECHAZADO,monto_invalido_o_vacio
252,2267,,12762.64,ABIERTO,fecha_invalida
253,1765,,10785.64,ABIERTO,fecha_invalida
254,22116,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
255,24181,2025-02-09,,NAN,monto_invalido_o_vacio
256,1939,,7149.72,NAN,fecha_invalida
257,15563,,7905.89,CERRADO,fecha_invalida
258,7251,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
259,19809,,10058.57,CERRADO,fecha_invalida
260,17781,,14206.04,NAN,fecha_invalida
261,9851,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
262,17232,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
263,6744,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
264,13686,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
265,217,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
266,18359,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
267,13995,,6273.55,NAN,fecha_invalida
268,18702,,5803.93,ABIERTO,fecha_invalida
269,20302,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
270,21104,,8284.25,ABIERTO,fecha_invalida
271,16423,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
272,11306,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
273,14467,,2855.89,ABIERTO,fecha_invalida
274,22521,,6246.09,NAN,fecha_invalida
275,19524,,10334.68,ABIERTO,fecha_invalida
276,24025,,12873.15,CERRADO,fecha_invalida
277,4835,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
278,12350,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
279,8178,,10418.51,RECHAZADO,fecha_invalida
280,3145,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
282,11387,,5370.01,CERRADO,fecha_invalida
283,17276,,8841.01,NAN,fecha_invalida
284,4685,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
285,17418,,5091.35,ABIERTO,fecha_invalida
286,14149,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
287,17519,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
288,19817,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
289,2525,,6583.18,CERRADO,fecha_invalida
290,23857,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
291,367,,9606.53,NAN,fecha_invalida
293,10362,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
294,21932,,9926.07,ABIERTO,fecha_invalida
295,11353,,566.0,ABIERTO,fecha_invalida
296,2362,2026-01-11,,RECHAZADO,monto_invalido_o_vacio
297,7821,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
298,6809,,1486.47,NAN,fecha_invalida
299,11447,2026-02-08,,CERRADO,monto_invalido_o_vacio
300,13999,,331.95,ABIERTO,fecha_invalida
301,19710,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
302,22748,,5352.07,NAN,fecha_invalida
303,1719,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
304,2036,,8381.86,CERRADO,fecha_invalida
305,13740,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
306,11979,,3782.57,NAN,fecha_invalida
307,9896,,9098.49,NAN,fecha_invalida
309,22223,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
310,18660,,7735.22,NAN,fecha_invalida
312,15669,2026-02-05,,ABIERTO,monto_invalido_o_vacio
313,12886,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
314,6169,2025-08-08,,CERRADO,monto_invalido_o_vacio
316,19243,,2098.28,NAN,fecha_invalida
317,7504,2025-12-06,,NAN,monto_invalido_o_vacio
318,18504,,14001.5,CERRADO,fecha_invalida
319,4709,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
320,17508,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
321,15003,,4359.69,ABIERTO,fecha_invalida
322,19178,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
323,17082,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
325,25648,2025-11-14,,NAN,monto_invalido_o_vacio
327,8526,,13905.74,RECHAZADO,fecha_invalida
328,19746,,6693.43,ABIERTO,fecha_invalida
329,23344,,10541.76,ABIERTO,fecha_invalida
330,13177,2025-03-09,,NAN,monto_invalido_o_vacio
331,16704,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
333,21160,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
334,12046,,2537.12,ABIERTO,fecha_invalida
335,12406,,319.52,CERRADO,fecha_invalida
336,23055,2025-12-29,,NAN,monto_invalido_o_vacio
337,15288,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
338,13062,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
339,8768,,2863.49,ABIERTO,fecha_invalida
340,4853,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
341,21940,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
342,5070,,6723.23,NAN,fecha_invalida
343,25543,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
344,9611,,2147.03,CERRADO,fecha_invalida
345,5702,,10398.23,ABIERTO,fecha_invalida
346,16953,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
347,18616,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
348,3786,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
349,18539,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
351,4779,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
352,5401,2025-11-09,,RECHAZADO,monto_invalido_o_vacio
353,21230,2025-10-14,,ABIERTO,monto_invalido_o_vacio
354,23874,,12544.63,RECHAZADO,fecha_invalida
355,23407,2025-08-09,,CERRADO,monto_invalido_o_vacio
356,21703,2025-08-01,,ABIERTO,monto_invalido_o_vacio
357,3742,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
358,5810,2025-11-18,,NAN,monto_invalido_o_vacio
359,12112,,2073.55,ABIERTO,fecha_invalida
360,24056,,7083.76,RECHAZADO,fecha_invalida
361,16268,,13927.17,ABIERTO,fecha_invalida
362,18426,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
363,21311,,9959.61,ABIERTO,fecha_invalida
364,16748,2025-08-24,,NAN,monto_invalido_o_vacio
365,18228,,13973.16,CERRADO,fecha_invalida
367,942,2025-07-05,,ABIERTO,monto_invalido_o_vacio
368,14823,,1629.44,ABIERTO,fecha_invalida
369,15818,,434.28,ABIERTO,fecha_invalida
370,20114,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
372,941,,10846.29,ABIERTO,fecha_invalida
373,16241,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
374,24381,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
375,3784,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
377,19938,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
378,4586,,2051.08,ABIERTO,fecha_invalida
379,19394,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
380,19177,2025-11-20,,NAN,monto_invalido_o_vacio
381,18189,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
382,13149,,5788.34,NAN,fecha_invalida
383,3726,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
385,3696,,2099.51,NAN,fecha_invalida
386,20394,2026-01-19,,NAN,monto_invalido_o_vacio
388,8625,,4076.28,NAN,fecha_invalida
389,21668,,11042.25,ABIERTO,fecha_invalida
390,840,,10747.46,ABIERTO,fecha_invalida
391,24690,,5736.62,NAN,fecha_invalida
392,20920,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
393,19824,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
394,7220,2025-07-25,,NAN,monto_invalido_o_vacio
396,986,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
397,22624,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
398,10478,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
399,1386,,1160.69,ABIERTO,fecha_invalida
400,6936,2025-08-02,,NAN,monto_invalido_o_vacio
401,12559,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
402,22663,2025-04-29,,NAN,monto_invalido_o_vacio
403,9469,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
404,4048,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
405,17081,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
406,13593,,1225.41,CERRADO,fecha_invalida
407,15499,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
408,15018,,13987.17,NAN,fecha_invalida
409,4598,,14385.55,ABIERTO,fecha_invalida
410,20008,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
411,15930,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
412,1661,2025-05-01,,ABIERTO,monto_invalido_o_vacio
413,15474,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
415,10705,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
416,1066,,2268.69,RECHAZADO,fecha_invalida
417,24940,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
418,19027,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
419,11189,2025-07-19,,CERRADO,monto_invalido_o_vacio
420,15208,,14567.87,RECHAZADO,fecha_invalida
421,5615,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
422,9973,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
423,11261,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
424,11599,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
425,6477,,11168.31,ABIERTO,fecha_invalida
426,24821,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
427,19205,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
428,20511,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
429,10083,2025-08-08,,NAN,monto_invalido_o_vacio
430,9420,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
431,16556,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
432,3991,,12934.03,CERRADO,fecha_invalida
433,13660,,4257.18,RECHAZADO,fecha_invalida
434,9923,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
435,15659,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
436,4058,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
437,23431,,9923.03,RECHAZADO,fecha_invalida
438,20439,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
439,23475,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
440,16397,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
441,22684,,10554.36,RECHAZADO,fecha_invalida
442,25876,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
444,23715,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
445,7801,2025-01-27,,RECHAZADO,monto_invalido_o_vacio
446,849,,966.15,NAN,fecha_invalida
448,13756,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
449,10005,,9876.19,ABIERTO,fecha_invalida
450,18661,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
451,3111,,12498.73,CERRADO,fecha_invalida
453,14614,2025-12-10,,NAN,monto_invalido_o_vacio
454,18671,,14655.73,NAN,fecha_invalida
455,11674,2025-05-22,,CERRADO,monto_invalido_o_vacio
456,6812,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
457,4234,2025-10-22,,RECHAZADO,monto_invalido_o_vacio
458,22894,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
459,19084,,11662.9,NAN,fecha_invalida
460,9557,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
461,9517,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
462,1370,,2238.16,RECHAZADO,fecha_invalida
463,1315,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
464,7665,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
465,4729,,13763.87,CERRADO,fecha_invalida
466,19556,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
467,12477,,12448.85,CERRADO,fecha_invalida
468,7145,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
470,7885,,9856.68,CERRADO,fecha_invalida
472,4686,,7740.48,ABIERTO,fecha_invalida
473,6110,2025-02-02,,RECHAZADO,monto_invalido_o_vacio
474,12213,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
475,13039,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
476,4147,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
477,23464,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
478,15010,,11687.78,ABIERTO,fecha_invalida
479,4770,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
480,23674,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
481,5991,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
482,18388,2025-11-03,,CERRADO,monto_invalido_o_vacio
483,1067,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
484,10177,,9795.3,RECHAZADO,fecha_invalida
485,23236,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
486,16519,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
487,21900,2025-11-02,,ABIERTO,monto_invalido_o_vacio
